game,original_size,avg_compressed_size
bigfish,786432,368417.18691588787
heist,786432,563409.0279441117
leaper,786432,460880.95736434107
climber,786432,164240.2011494253
ninja,786432,334730.23841059604
coinrun,786432,110958.21656686626
fruitbot,786432,519698.23076923075
plunder,786432,374986.56622516556
maze,786432,468811.5856573705
caveflyer,786432,516227.1956521739
miner,786432,492706.6111111111
bossfight,786432,495953.7083333333
chaser,786432,565118.3709677419
jumper,786432,330426.4
starpilot,786432,225795.44520547945
dodgeball,786432,644881.7894736842
