episode,sim/wall,total steps,steps/sec,score
0,0.21293787274542011,213,2.1293786919267257,"011: 6.3874, 005: -5.3164, 027: 6.0070, 014: 6.1748, 007: -0.1421, 026: -1.9165, 022: 3.3756, 019: 6.0327, 016: -0.5362, 004: 6.3724, 020: 6.3771, 029: 6.2525, 023: 3.9247, 009: -0.5277, 015: -2.5698, 000: 5.3156, 012: 6.4334, 028: 5.3004, 021: 5.9835, 008: 6.2340, 013: 0.1616, 010: 6.3644, 024: 5.9877, 002: 1.0105, 018: 6.1753, 001: 6.3231, 006: 5.7983, 003: 0.1512, 017: -1.6437, 025: -0.1291"
1,0.21141989780317552,182,2.114198937043592,"011: 1.9481, 005: -0.2556, 027: 5.0750, 014: 5.2753, 007: 5.3435, 026: 5.0263, 022: -10.7445, 019: 5.3689, 004: 1.4983, 016: 5.3177, 020: 1.4773, 029: -1.5945, 023: 5.3469, 009: 5.0155, 015: 4.9417, 000: 5.2592, 012: 5.2856, 028: -0.4311, 021: 5.3574, 008: 1.6522, 013: 4.5933, 010: -17.1470, 024: -0.4236, 002: 5.1375, 018: -1.5283, 001: -0.8446, 006: -15.7209, 003: -1.8034, 017: 5.2063, 025: -3.9183"
2,0.18426738977075993,128,1.8426738660850344,"011: 3.6804, 005: 3.7000, 027: -2.8253, 014: 3.7594, 007: 0.3364, 026: -0.1316, 022: -4.1050, 019: 3.7239, 016: 3.8053, 004: 2.7298, 020: -2.9871, 029: 0.9142, 023: 0.6575, 009: 0.5157, 015: 3.4835, 000: 3.7622, 012: 3.6744, 028: 3.7963, 021: 3.5604, 008: -1.7862, 013: 3.7628, 010: 3.8294, 024: 3.7104, 002: -0.6367, 018: 2.1702, 001: -0.0621, 006: -0.4523, 003: -5.8223, 017: 3.7905, 025: 3.8416"
3,0.15845914777261402,182,1.5845914547010485,"011: 4.8690, 005: 3.6593, 027: -0.4740, 014: 0.3385, 007: 5.4531, 026: -10.7904, 022: 5.4359, 019: 5.4675, 004: -0.5483, 016: 5.4087, 020: 4.7531, 029: 5.5777, 023: 5.4548, 009: -0.8484, 015: 3.6797, 000: 5.0903, 012: 5.2982, 028: 5.3101, 021: 5.3299, 008: -3.6644, 013: -17.6328, 010: -0.8769, 024: 4.4142, 002: 5.2407, 018: 2.3583, 001: -4.7447, 006: 5.3210, 003: 5.3916, 017: -0.7490, 025: 5.3969"
4,0.14306124200156503,274,1.430612405768648,"011: 7.9210, 005: -1.6493, 027: 7.4102, 014: -0.7960, 007: 7.6219, 026: -7.4686, 022: 1.0222, 019: 8.0609, 016: 8.2257, 004: 7.9058, 020: 8.0823, 029: -6.9717, 023: 8.2031, 009: 8.1275, 015: -0.6891, 000: -21.0850, 012: 1.3815, 028: 8.1884, 021: -3.0112, 008: 7.8159, 013: 7.6735, 010: 7.8976, 024: 7.6167, 002: -0.1281, 018: 8.0332, 001: -0.6990, 006: 7.8116, 003: -0.2436, 017: -0.7419, 025: 7.8931"
5,0.12522710176727064,231,1.2522710047243466,"011: 6.3008, 005: 6.4007, 027: 2.6942, 014: 6.8019, 007: 6.3999, 026: -19.8795, 022: 6.5175, 019: 6.8582, 004: 0.7863, 016: -0.3346, 020: 6.5310, 029: 6.3590, 023: -0.3420, 009: 6.6729, 015: -16.7850, 000: 0.6772, 012: 6.8546, 028: 3.8501, 021: 2.7036, 008: 6.5309, 013: -3.8466, 010: 4.8712, 024: -14.7521, 002: 6.9721, 018: -3.0823, 001: 6.6842, 006: 6.7084, 003: 6.5101, 017: 6.8665, 025: -2.0390"
6,0.12809702661745134,107,1.2809702405808503,"011: -0.6082, 005: 3.0375, 027: 3.3002, 014: 0.2135, 007: 3.2657, 026: 3.1251, 022: -1.4192, 019: -3.2376, 016: 0.7669, 004: 2.8623, 020: -4.5437, 029: 2.4310, 023: 0.7673, 009: 2.9502, 015: 2.9742, 000: -34.3147, 012: 3.2290, 028: -0.3382, 021: 3.1766, 008: -6.4089, 013: 0.4673, 010: 3.3230, 024: 2.7148, 002: 0.2541, 018: 3.2695, 001: -12.3207, 006: 3.2294, 003: -0.8448, 017: 3.0237, 025: 2.8913"
7,0.1284932430826075,154,1.284932412933288,"011: 4.5407, 005: 4.5880, 027: 0.3759, 014: 4.7023, 007: 4.6517, 026: 1.9281, 022: 4.4331, 019: 2.2200, 004: 4.4336, 016: -0.3058, 020: 3.9713, 029: 4.3433, 023: 4.3019, 009: 3.9228, 015: -6.9210, 000: 2.9444, 012: -1.4976, 028: 4.2974, 021: 0.4480, 008: 3.1552, 013: 2.3114, 010: 4.3012, 024: 4.4825, 002: 4.4834, 018: 0.4240, 001: -0.7898, 006: 4.6173, 003: -6.2940, 017: 4.0010, 025: 4.5427"
8,0.11893976988574372,137,1.1893976791620875,"011: 4.1433, 005: 3.9990, 027: 1.1143, 014: -0.1158, 007: -2.3624, 026: 3.8122, 022: 3.8265, 019: 0.4124, 016: -0.7795, 004: 4.1180, 020: 2.2589, 029: -4.7687, 023: -0.9581, 009: 1.6239, 015: 2.9786, 000: 3.8547, 012: 0.4059, 028: 3.9695, 021: 3.7785, 008: 3.8028, 013: 4.0074, 010: 1.6655, 024: 3.8917, 002: 4.0900, 018: -3.5911, 001: 3.3530, 006: -0.2641, 003: 4.1140, 017: 2.7958, 025: -2.9242"
9,0.1237154598052565,153,1.2371545765871585,"011: 4.1950, 005: -3.6844, 027: 4.5148, 014: 0.1594, 007: 4.1327, 026: 4.4513, 022: -4.0686, 019: 3.9547, 004: 4.4735, 016: 2.3315, 020: 4.2050, 029: 4.1191, 023: 4.7152, 009: -0.9117, 015: 4.1634, 000: 2.5456, 012: -2.5227, 028: 0.1710, 021: 0.8836, 008: 4.3284, 013: 4.2351, 010: 2.6445, 024: 4.3555, 002: -5.1365, 018: 0.9624, 001: 4.4547, 006: 4.5198, 003: 4.6442, 017: 1.9893, 025: 4.3640"
10,0.12750817621377464,205,1.2750817470107645,"011: 5.2673, 005: -2.1928, 027: -4.7003, 014: 6.0451, 007: 6.1948, 026: 5.5240, 022: 5.5196, 019: -1.0233, 016: 5.2998, 004: 5.9056, 020: 5.3924, 029: -10.3474, 023: 1.8476, 009: 5.8820, 015: -21.3279, 000: 6.1884, 012: -6.0275, 028: -13.6211, 021: 6.1309, 008: -6.8184, 013: 5.6259, 010: 6.1935, 024: -0.7730, 002: 5.4011, 018: -3.9302, 001: -1.6612, 006: 6.1600, 003: 2.3491, 017: 6.1711, 025: -4.9099"
11,0.1276346545054172,133,1.2763465216918692,"011: -1.7369, 005: 3.6553, 027: 3.6230, 014: 2.6625, 007: 3.7966, 026: 3.9217, 022: -1.5339, 019: 0.3918, 004: -5.1921, 016: 0.2194, 020: -3.2542, 029: 3.9882, 023: 3.9849, 009: 3.8633, 015: 3.8712, 000: 0.2355, 012: 3.9963, 028: 3.8710, 021: 3.8116, 008: 0.6813, 013: -6.3003, 010: 3.7313, 024: 3.7550, 002: 4.0135, 018: 3.9588, 001: 0.9854, 006: 2.8371, 003: 2.4950, 017: 3.8318, 025: 0.7679"
MEAN,0.14914674849758802,174.91666666666666,1.491467461517951,n/a
