,mem_usage,step,replay_usage
0,100,5177696256,39500096
1,200,5217075200,79000096
2,300,5454528512,118500096
3,400,5464293376,158000096
4,500,5503807488,197500096
5,600,5543456768,237000096
6,700,5582999552,276500096
7,800,5634265088,316000096
8,900,5674024960,355500096
9,1000,5706117120,395000096
10,1100,5745586176,434500096
11,1200,5784776704,474000096
12,1300,5824233472,513500096
13,1400,5863948288,553000096
14,1500,5903126528,592500096
15,1600,5942026240,632000096
16,1700,5990080512,671500096
17,1800,6029791232,711000096
18,1900,6068363264,750500096
19,2000,6108053504,790000096
20,2100,6198644736,829500096
21,2200,6239031296,869000096
22,2300,6278242304,908500096
23,2400,6318411776,948000096
24,2500,6357929984,987500096
25,2600,6397329408,1027000096
26,2700,6436302848,1066500096
27,2800,6476242944,1106000096
28,2900,6517170176,1145500096
29,3000,6556897280,1185000096
30,3100,6596038656,1224500096
31,3200,6635372544,1264000096
32,3300,6675296256,1303500096
33,3400,6725570560,1343000096
34,3500,6765772800,1382500096
35,3600,6804393984,1422000096
36,3700,6843785216,1461500096
37,3800,6883774464,1501000096
38,3900,6912471040,1540500096
39,4000,6952148992,1580000096
40,4100,7001485312,1619500096
41,4200,7032782848,1659000096
42,4300,7071465472,1698500096
43,4400,7110799360,1738000096
44,4500,7150329856,1777500096
45,4600,7189934080,1817000096
46,4700,7239163904,1856500096
47,4800,7273451520,1896000096
48,4900,7312592896,1935500096
49,5000,7348252672,1975000096
50,5100,7387979776,2014500096
51,5200,7436759040,2054000096
52,5300,7476486144,2093500096
53,5400,7515459584,2133000096
54,5500,7555850240,2172500096
55,5600,7595253760,2212000096
56,5700,7636598784,2251500096
57,5800,7666319360,2291000096
58,5900,7705673728,2330500096
59,6000,7745634304,2370000096
60,6100,7785431040,2409500096
61,6200,7824834560,2449000096
62,6300,7863463936,2488500096
63,6400,7906607104,2528000096
64,6500,7946137600,2567500096
65,6600,7985274880,2607000096
66,6700,8029949952,2646500096
67,6800,8071225344,2686000096
68,6900,8110559232,2725500096
69,7000,8150548480,2765000096
70,7100,8190537728,2804500096
71,7200,8226242560,2844000096
72,7300,8270192640,2883500096
73,7400,8309329920,2923000096
74,7500,8348925952,2962500096
75,7600,8388718592,3002000096
76,7700,8427921408,3041500096
77,7800,8461086720,3081000096
78,7900,8500420608,3120500096
79,8000,8539951104,3160000096
80,8100,8579088384,3199500096
81,8200,8617115648,3239000096
82,8300,8656842752,3278500096
83,8400,8696373248,3318000096
84,8500,8736104448,3357500096
85,8600,8775241728,3397000096
86,8700,8814379008,3436500096
87,8800,8853712896,3476000096
88,8900,8898945024,3515500096
89,9000,8938078208,3555000096
90,9100,8977018880,3594500096
91,9200,9016356864,3634000096
92,9300,9056665600,3673500096
93,9400,9096392704,3713000096
94,9500,9135333376,3752500096
95,9600,9174278144,3792000096
96,9700,9213943808,3831500096
97,9800,9253277696,3871000096
98,9900,9292808192,3910500096
99,10000,9332338688,3950000096
